movie,actor
Taxi Driver,LeVar Burton
Taxi Driver,Craig Wasson
Back to the Future,Arnold Lucy
Back to the Future,Carl Reiner
Back to the Future,Elliott Reid
Back to the Future,Bill Duck
Predator,Al Jolson
Predator,Steve Zahn
Predator,Michelle Monaghan
Predator,Mary Crosby
Scarface,Julia Ormond
Scarface,Richard Garland
Scarface,Jasen Fisher
Scarface,Raf Vallone
Pretty Woman,Jeff Anderson
Pretty Woman,John Glover
Pretty Woman,Steve Brodie
Pretty Woman,Julian Sands
The Big Lebowski,Kevin Conroy
The Big Lebowski,Sean Combs
The Big Lebowski,Robert Cummings
The Big Lebowski,Andy Dick
The Untouchables,Eddie ›Rochester‹ Anderson
The Untouchables,Leila Gastil
The Untouchables,Obba Babatundé
The Untouchables,Rosario Dawson
Freaks,Bill Mumy
Freaks,Andersen Gabrych
Freaks,Chris Eigeman
Freaks,Stephen Root
Groundhog Day,Bel Deliá
Groundhog Day,Helen Boston
Groundhog Day,David Labiosa
Groundhog Day,Dwayne Johnson
Dracula,Leslie Stefanson
Dracula,Armin Mueller-Stahl
Dracula,John Woodvine
Dracula,Louis Waldon
All Quiet on the Western Front,Emily Shelton
All Quiet on the Western Front,Stella Stevens
All Quiet on the Western Front,Katja Rupé
All Quiet on the Western Front,Jean-Hugues Anglade
Breaking The Waves,Nick Mancuso
Breaking The Waves,Eddie Mayehoff
Breaking The Waves,Annette Bening
Breaking The Waves,Frank McHugh
48 Hrs.,William Sanderson
48 Hrs.,Leonard Henry
48 Hrs.,George Segal
48 Hrs.,James Donald
Star Trek - The Motion Picture,William Sanderson
Star Trek - The Motion Picture,Leonard Henry
Star Trek - The Motion Picture,Dayle Haddon
Star Trek - The Motion Picture,James Donald
Star Trek II - The Wrath of Khan,William Sanderson
Star Trek II - The Wrath of Khan,Leonard Henry
Star Trek II - The Wrath of Khan,Dayle Haddon
Star Trek II - The Wrath of Khan,James Donald
Star Trek III - The Search for Spock,George Chakiris
Star Trek III - The Search for Spock,Brad Greenquist
Star Trek III - The Search for Spock,Matt Craven
Star Trek III - The Search for Spock,Andy Dick
Ocean's Eleven,Johnathon Schaech
Ocean's Eleven,Wings Hauser
Ocean's Eleven,Dianna Agron
Ocean's Eleven,Alan Alda
Edward Scissorhands,Audrey Dalton
Edward Scissorhands,George Newbern
Edward Scissorhands,Patricia Morison
Edward Scissorhands,Bud Tingwell
Breakfast at Tiffany's,Michael Ironside
Breakfast at Tiffany's,Christopher Lee
Back to the Future Part II,William Sanderson
Back to the Future Part II,Leonard Henry
Back to the Future Part II,Dayle Haddon
Back to the Future Part II,James Donald
Star Trek IV - The Voyage Home,Kevin O'Connor
Star Trek IV - The Voyage Home,Danny Dyer
Star Trek IV - The Voyage Home,Gary Bakewell
Star Trek IV - The Voyage Home,Ruby Keeler
Predator 2,William Sanderson
Predator 2,Leonard Henry
Predator 2,Dayle Haddon
Predator 2,James Donald
Star Trek V - The Final Frontier,William Sanderson
Star Trek V - The Final Frontier,Leonard Henry
Star Trek V - The Final Frontier,Dayle Haddon
Star Trek V - The Final Frontier,James Donald
Star Trek VI - The Undiscovered Country,Jeff Anderson
Star Trek VI - The Undiscovered Country,Robin Tunney
Star Trek VI - The Undiscovered Country,Melvyn Douglas
Star Trek VI - The Undiscovered Country,Amanda Bynes
The Fisher King,Lloyd Bochner
The Fisher King,Flora Robson
The Fisher King,Suzanne Snyder
The Fisher King,Jeff Anderson
Blown Away,Beatrice Straight
Blown Away,Fred MacMurray
Blown Away,Christian Bale
Blown Away,Jenny Levine
The Wizard,Paige Rowland
The Wizard,Samuel E. Wright
The Wizard,Robert Cummings
The Wizard,Michael Jeter
Jackie Brown,Malcolm Keen
Jackie Brown,Patrick Macnee
Jackie Brown,Adrienne Barbeau
Jackie Brown,Michael Ansara
A Clockwork Orange,Patrick Renna
A Clockwork Orange,Jonathan Firth
A Clockwork Orange,Brent Hinkley
A Clockwork Orange,Lawrence Tierney
Star Trek - Generations,Miranda Richardson
Star Trek - Generations,Katrin Cartlidge
Star Trek - Generations,Herbert Lom
Star Trek - Generations,Charles Ogle
Trouble in Paradise,Mel Ferrer
Trouble in Paradise,Catherine Mary Stewart
Trouble in Paradise,Sophie Lee
Trouble in Paradise,Patrick Magee
Braveheart,Carole Landis
Braveheart,Jacinda Barrett
Braveheart,Robert Shaw
Braveheart,Felipe Pazos
To Be or Not To Be,Patrick Renna
To Be or Not To Be,Jonathan Firth
To Be or Not To Be,Brent Hinkley
To Be or Not To Be,Lawrence Tierney
Star Trek - First Contact,Patrick Renna
Star Trek - First Contact,Jonathan Firth
Star Trek - First Contact,Brent Hinkley
Star Trek - First Contact,Lawrence Tierney
Star Trek - Insurrection,Harvey Fierstein
Star Trek - Insurrection,Robert Cummings
Star Trek - Insurrection,David Niven
Star Trek - Insurrection,Amy Madigan
Mean Streets,Robin Tunney
Mean Streets,Ethan Embry
Mean Streets,Robert Sansom
Mean Streets,Gailard Sartain
Dead Poets Society,Cary Elwes
Dead Poets Society,Joseph Wiseman
Dead Poets Society,Jayne Mansfield
Dead Poets Society,Raymond J. Berry
Arsenic and Old Lace,Cary Elwes
Arsenic and Old Lace,Eva Longoria Parker
Arsenic and Old Lace,James Madio
Arsenic and Old Lace,Jessie Matthews
North by Northwest,Arnold Lucy
North by Northwest,Michael Berryman
North by Northwest,Linda Fiorentino
North by Northwest,Paul Walker
The Terminator,Julie Hagerty
The Terminator,James Cromwell
The Terminator,Raymond J. Berry
The Terminator,Richard Crenne
East of Eden,James Cromwell
East of Eden,Natalie Trundy
East of Eden,Sal Lopez
East of Eden,Ann Carter
Rebel Without a Cause,Laurence Naismith
Rebel Without a Cause,Joan Cusack
Rebel Without a Cause,George Rose
Rebel Without a Cause,Judi West
Rebecca,Hilary Mason
Rebecca,Chloe Webb
Rebecca,Peter Riegert
Rebecca,Brendan Gleeson
Boys Don't Cry,Matt Damon
Boys Don't Cry,Ralph Fiennes
Boys Don't Cry,C. Aubrey Smith
Boys Don't Cry,Patrick Stewart
The Outsiders,Matt Damon
The Outsiders,Mickey Rooney
The Outsiders,Diane Ladd
The Outsiders,Dennis Hoey
Rumble Fish,Ken Takakura
Rumble Fish,John Fraser
Rumble Fish,Kareem Abdul-Jabbar
Rumble Fish,Toni Collette
The Wanderers,Rita Wilson
The Wanderers,Whoopi Goldberg
The Wanderers,Corbin Bernsen
The Wanderers,Jerry Nelson
Stand By Me,Tone Loc
Stand By Me,Bill Hayes
Stand By Me,Rachel Friend
Stand By Me,Sophia Loren
Muriel's Wedding,Marlene Dietrich
Muriel's Wedding,Al Jolson
Muriel's Wedding,James Brown
Muriel's Wedding,Richard Roxburgh
The Godfather,Marilyn Ghigliotti
The Godfather,Joe Don Baker
The Godfather,Tony Becker
The Godfather,Jack Lambert
Some Like It Hot,Al Jolson
Some Like It Hot,Robert Downey Jr.
Some Like It Hot,Diane Clare
Some Like It Hot,Robert Cummings
The Godfather Part II,Woody Allen
The Godfather Part II,Juliette Binoche
The Godfather Part II,Tom Selleck
The Godfather Part II,Rodney A. Grant
Natural Born Killers,Al Jolson
Natural Born Killers,Diane Clare
Natural Born Killers,Andy Dick
Natural Born Killers,Takeshi Kitano
The Godfather Part III,Fay Compton
The Godfather Part III,Robert Arkins
The Godfather Part III,Bruce Boxleitner
The Godfather Part III,Frank Puglia
King Kong,Stephen Young
King Kong,Cole Sprouse
King Kong,Vin Diesel
King Kong,Jason Statham
The Killing,Betsy Palmer
The Killing,Glenn Close
The Killing,Hope Davis
The Killing,Peter Facinelli
Pocketful of Miracles,Kathleen Quinlan
Pocketful of Miracles,Michael Dolan
Pocketful of Miracles,Danny De La Paz
Pocketful of Miracles,Marianne Koch
The War of the Roses,Patrick Stewart
The War of the Roses,Delroy Lindo
The War of the Roses,Whitney Houston
The War of the Roses,Tony Doyle
Ghost,Roger Livesey
Ghost,Yancy Butler
Ghost,Jane Russell
Ghost,Clifton Collins Jr.
Live and Let Die,Barney
Live and Let Die,Ben Johnson
Live and Let Die,Jamie Bell
Live and Let Die,Harry Dean Stanton
Oliver Twist,Robert DoQui
Oliver Twist,Macdonald Carey
Oliver Twist,Luciana Paluzzi
Oliver Twist,Glynis Johns
The 39 Steps,Elizabeth Reaser
The 39 Steps,Paul Muni
The 39 Steps,Burgess Meredith
The 39 Steps,Judi West
Cat on a Hot Tin Roof,Hank B. Marvin
Cat on a Hot Tin Roof,Giancarlo Esposito
Cat on a Hot Tin Roof,Christine Elise
Cat on a Hot Tin Roof,Hardy Krüger Jr.
Lili Marleen,Michael Jeter
Lili Marleen,Jack Nance
Lili Marleen,Kieran Culkin
Lili Marleen,Michael Goodliffe
Batman,Jock Mahoney
Batman,Anthony Higgins
Batman,Anthony Geary
Batman,Scott Caan
The Silence of the Lambs,William Forsythe
The Silence of the Lambs,Frances Fisher
The Silence of the Lambs,Steve Brodie
The Silence of the Lambs,Peter Sellers
Fargo,Tim Meadows
Fargo,Morey Amsterdam
Fargo,Bob Balaban
Fargo,William Russ
The Shawshank Redemption,Ewen Bremner
The Shawshank Redemption,Tom Hiddleston
The Shawshank Redemption,Elizabeth Berkley
The Shawshank Redemption,Roy Crewsdon
Amadeus,Arnold Lucy
Amadeus,Linda Fiorentino
Amadeus,Edward Fox
Amadeus,Robert Pastorelli
Terminator 2: Judgment Day,Ralph Bellamy
Terminator 2: Judgment Day,Aneta Corsaut
Terminator 2: Judgment Day,Tom Selleck
Terminator 2: Judgment Day,Juliette Binoche
Strange Days,Jack Lambert
Strange Days,Shirley Henderson
Strange Days,Fred Gwynne
Strange Days,Ray Milland
The Apartment,Kevin Conroy
The Apartment,Susan Lynch
The Apartment,Tim Meadows
The Apartment,Trevor Steedman
Bull Durham,Gary Cole
Bull Durham,Grace Jones
Bull Durham,Thomas Jane
Bull Durham,Lloyd Bochner
High Noon,Hume Cronyn
High Noon,Inger Stevens
High Noon,Paul Hecht
High Noon,Claude Jarman Jr.
Casablanca,John Travolta
Casablanca,John Glover
Casablanca,Judson Pratt
Casablanca,Michael Legge
Barton Fink,Helen Morse
Barton Fink,Patricia Arquette
Barton Fink,Audie Murphy
Desert Hearts,Brad Greenquist
Desert Hearts,Anthony Higgins
Desert Hearts,Claire Danes
Desert Hearts,Jeffrey Jones
Meet Joe Black,John Warwick
Meet Joe Black,Dean Jones
Meet Joe Black,Ricki Lake
Meet Joe Black,Walter Barnes
Rio Bravo,Inger Stevens
Rio Bravo,Cary Elwes
Rio Bravo,Claude Jarman Jr.
Rio Bravo,Leonor Watling
Notorious,Eddie Mayehoff
Notorious,Jude Law
Notorious,Heather O'Rourke
Notorious,Brittany Snow
Beverly Hills Cop III,Robert Cummings
Beverly Hills Cop III,James Whitmore
Beverly Hills Cop III,Elizabeth Lawrence
Beverly Hills Cop III,Tuesday Knight
Once Upon a Time in America,Tupac Shakur
Once Upon a Time in America,Haing S. Ngor
Once Upon a Time in America,Paul Stewart
Once Upon a Time in America,Denise Richards
Faster Pussycat! Kill! Kill!,Christian Bale
Faster Pussycat! Kill! Kill!,Patrice Martinez
Faster Pussycat! Kill! Kill!,Michael Patrick Carter
Faster Pussycat! Kill! Kill!,Brittany Snow
True Romance,Sam Jaffe
True Romance,Laura Dean
True Romance,Jeff Fahey
True Romance,Richard Arlen
Jurassic Park,Jeff Fahey
Jurassic Park,Julian Sands
Jurassic Park,Pete O'Herne
Jurassic Park,Richard Arlen
The Lost World: Jurassic Park,Julian Sands
The Lost World: Jurassic Park,William Forsythe
The Lost World: Jurassic Park,John C. McGinley
The Lost World: Jurassic Park,Tom Courtenay
Magnolia,Henry Edwards
Magnolia,Claudia Barrett
Magnolia,Jason Priestley
Magnolia,Charles Boyer
Once Upon A Time In The West,Wings Hauser
Once Upon A Time In The West,Gemma Phoenix
Once Upon A Time In The West,Lisa Smit
Once Upon A Time In The West,Alan Napier
Night on Earth,Ruth Gemmell
Night on Earth,Buck Henry
Night on Earth,Vivean Gray
Night on Earth,Cynthia Stevenson
Harold and Maude,Tom Courtenay
Harold and Maude,Nicole Beharie
Harold and Maude,Madeline Kahn
Harold and Maude,Jackie Lyn Dufton
Eyes Wide Shut,Tom Sizemore
Eyes Wide Shut,Sig Ruman
Eyes Wide Shut,Veronica Carlson
Eyes Wide Shut,Harry Crosby
Alien,Michael Jeter
Alien,Danny De La Paz
Alien,Michelle Monaghan
Alien,Christopher Stone
Batman Returns,Robert Duvall
Batman Returns,Heather Graham
Batman Returns,Johnathon Schaech
Batman Returns,Ronald Lewis
A Nightmare on Elm Street,Nicolas Bro
A Nightmare on Elm Street,Hobart Bosworth
A Nightmare on Elm Street,Trevor Steedman
A Nightmare on Elm Street,John Glover
Raising Arizona,Fyvush Finkel
Raising Arizona,Marcel Journet
Raising Arizona,John Travolta
Raising Arizona,Jon Lovitz
Miller's Crossing,Duncan Regehr
Miller's Crossing,Tom Courtenay
Miller's Crossing,Valeri Nikolayev
Miller's Crossing,Gerald Mohr
Rain Man,Cary Elwes
Rain Man,Grace Jones
Rain Man,Bridgette Wilson
Rain Man,Jessie Matthews
To Catch a Thief,Elizabeth Reaser
To Catch a Thief,Richard Bull
To Catch a Thief,Sandy Baron
To Catch a Thief,George Sanders
Who's Afraid of Virginia Woolf?,Meg Foster
Who's Afraid of Virginia Woolf?,Kevin Jamal Woods
Who's Afraid of Virginia Woolf?,Timothy Dalton
Who's Afraid of Virginia Woolf?,Jean Peters
French Kiss,Andy Dick
French Kiss,Christopher Lee
French Kiss,William Finley
French Kiss,Bill Nighy
Things to Do in Denver When You're Dead,Michael Dolan
Things to Do in Denver When You're Dead,Sharon Gless
Things to Do in Denver When You're Dead,George Cole
Things to Do in Denver When You're Dead,Jeanne Moreau
Basic Instinct,Morey Amsterdam
Basic Instinct,Jessica Stroup
Basic Instinct,Damon Wimbley
Basic Instinct,Patti Love
Driving Miss Daisy,Richard Elfyn
Driving Miss Daisy,Sir Ian McKellen
Driving Miss Daisy,Jane Fonda
Driving Miss Daisy,Josef Sommer
The Straight Story,Ralph Bellamy
The Straight Story,Juliet Stevenson
The Straight Story,Will Smith
The Straight Story,Kristin Davis
The English Patient,Ursula Weiss
The English Patient,Tommy Flanagan
The English Patient,Jim Brown
The English Patient,Nicole Beharie
Batman Forever,Liam Cunningham
Batman Forever,Ben Johnson
Batman Forever,Ralph Bellamy
Batman Forever,Caroline Ducey
Schindler's List,James Stacy
Schindler's List,Kim Miyori
Schindler's List,Barbara Baxley
Schindler's List,Tom Hanks
Vertigo,Elga Andersen
Vertigo,Clifton Webb
Vertigo,Lee Remick
Vertigo,Alberto Morin
"""The Good",James Caan
"""The Good",Hope Lange
"""The Good",Pamela Reed
"""The Good",Arlene Dahl
"""One",Julie Adams
"""One",Dick York
"""One",Karen Black
"""One",Matthew Broderick
Mary Poppins,Nicolas Bro
Mary Poppins,Elisabeth Bergner
Mary Poppins,Julian Mateos
Mary Poppins,Richard Lane
Leaving Las Vegas,Leonardo Cimino
Leaving Las Vegas,Claire Bloom
Leaving Las Vegas,John Le Mesurier
Leaving Las Vegas,Harold J. Stone
William Shakespeare's Romeo + Juliet,Jane Darwell
William Shakespeare's Romeo + Juliet,Donald Pleasence
William Shakespeare's Romeo + Juliet,Charles Bronson
William Shakespeare's Romeo + Juliet,Roy Orbison
Klute,Rita Wilson
Klute,Kay Thompson
Klute,James Robertson Justice
Klute,William Reynolds
My Own Private Idaho,John Lund
My Own Private Idaho,Esther Williams
My Own Private Idaho,Richard E. Grant
My Own Private Idaho,Cecilia Camacho
Stranger Than Paradise,Warren Ball
Stranger Than Paradise,Fay Wray
Stranger Than Paradise,Michael J. Fox
Stranger Than Paradise,Gene Tierney
Bonnie and Clyde,Matt Damon
Bonnie and Clyde,Kelly LeBrock
Bonnie and Clyde,James Larkin
Bonnie and Clyde,Heather Donahue
Drugstore Cowboy,Nicolas Bro
Drugstore Cowboy,Laura Dean
Drugstore Cowboy,Will Smith
Drugstore Cowboy,J.D. Cannon
Wild at Heart,Hume Cronyn
Wild at Heart,Kate del Castillo
Wild at Heart,Robert Montgomery
Wild at Heart,Peter Breck
The African Queen,Robin Tunney
The African Queen,Matt Craven
The African Queen,Bella Randles
The African Queen,Stella Stevens
Good Will Hunting,John Cullum
Good Will Hunting,Cameron Bright
Good Will Hunting,Mary Gregory
Good Will Hunting,Orlando Jones
Being John Malkovich,Tom Guiry
Being John Malkovich,Michael Clark
Being John Malkovich,Bonnie Bedelia
Being John Malkovich,David Miller
The Green Mile,Tim Robbins
The Green Mile,Michael Lonsdale
The Green Mile,Chris Pedersen
The Green Mile,Steve Brodie
Reservoir Dogs,Henry Edwards
Reservoir Dogs,Walter Huston
Reservoir Dogs,Fredric March
Reservoir Dogs,Larry Gates
Fail-Safe,Tina Turner
Fail-Safe,Sean Combs
Fail-Safe,Diana Ross
Fail-Safe,Martin Donovan
Marnie,Eric Schweig
Marnie,Julie Cox
Marnie,Jean-François Balmer
Marnie,Tabitha Lupien
Killing Zoe,Julia Ormond
Killing Zoe,Hugh Fraser
Killing Zoe,Richard Masur
Killing Zoe,Rhonda Fleming
Notting Hill,Jack Nance
Notting Hill,Louis de Funès
Notting Hill,William Ragsdale
Notting Hill,Michael Bates
One Flew Over The Cuckoo's Nest,Daniel Okrent
One Flew Over The Cuckoo's Nest,Winona Ryder
One Flew Over The Cuckoo's Nest,Andrew Stevens
One Flew Over The Cuckoo's Nest,Kadour Belkhodja
Promised Land,Grace Jones
Promised Land,Ray McAnally
Promised Land,Robert Cornthwaite
Promised Land,John Wildman
Dial M For Murder,Johnathon Schaech
Dial M For Murder,Martin Kove
Dial M For Murder,Sarah Henderson
Dial M For Murder,Patrice Martinez
Ed Wood,Robert Cummings
Ed Wood,Sharon Gless
Ed Wood,Joe Pantoliano
Ed Wood,James Whitmore
Casino,Damon Wimbley
Casino,John Beck
Casino,James Brolin
Casino,C.W. Mundy
The Blues Brothers,Matt McCoy
The Blues Brothers,Rusty Schwimmer
The Blues Brothers,Michelle Monaghan
The Blues Brothers,Leo Gordon
Ladyhawke,Reginald VelJohnson
Ladyhawke,Telly Savalas
Ladyhawke,Malin Akerman
Ladyhawke,Julia Stiles
Once Were Warriors,Jennifer Baxter
Once Were Warriors,Michael Murphy
Once Were Warriors,Lili Taylor
Once Were Warriors,Kyle Secor
Flashdance,Anthony Michael Hall
Flashdance,Janet Landgard
Flashdance,Vera Farmiga
Flashdance,John Garfield
Psycho,Anny Duperey
Psycho,Sanford Mitchell
Psycho,John Lone
Psycho,Donal O'Kelly
Blackmail,Cameron Bright
Blackmail,Ben Mendelsohn
Blackmail,Matt Damon
Blackmail,Lee Curreri
There's Something About Mary,Robert Quarry
There's Something About Mary,Kristin Davis
There's Something About Mary,Sam Jaffe
There's Something About Mary,Saundra Santiago
The Horse Whisperer,Jeffrey Tambor
The Horse Whisperer,Michael Wilding
The Horse Whisperer,Ben Stiller
The Horse Whisperer,David Bowe
Basquiat,Brad Greenquist
Basquiat,Edward Judd
Basquiat,Helena Bergström
Basquiat,Maya Zapata
Fight Club,Gene Evans
Fight Club,Carol Kane
Fight Club,Erna Haffner
Fight Club,Stefanie Powers
The Poseidon Adventure,Joan Allen
The Poseidon Adventure,Michael Rapaport
The Poseidon Adventure,Anne Ramsey
The Poseidon Adventure,Barbara Lindsay
Secret Beyond the Door,Bruce Welch
Secret Beyond the Door,Alan Randolph Scott
Secret Beyond the Door,Reginald Owen
Secret Beyond the Door,Bonnie Bartlett
Die Hard,Casey Siemaszko
Die Hard,Dina Merrill
Die Hard,Denise Darcel
Die Hard,Jake Blundell
Starship Troopers,Brendan Fletcher
Starship Troopers,Rachel Ward
Starship Troopers,John Hallam
Starship Troopers,Arnold Schwarzenegger
The Mummy,Terence Stramp
The Mummy,Joseph Chan
The Mummy,Macaulay Culkin
The Mummy,Henry Thomas
Shadow of a Doubt,Grace Jones
Shadow of a Doubt,James Stacy
Shadow of a Doubt,Wendel Meldrum
Shadow of a Doubt,Thandie Newton
Rear Window,Tom Guiry
Rear Window,Bill Nunn
Rear Window,Kevin Anderson
Rear Window,Gary Oldman
Apollo 13,Carole Lombard
Apollo 13,Saffron Burrows
Apollo 13,Franklyn Seales
Apollo 13,Robin Wright Penn
Romance,Rod Steiger
Romance,Tina Turner
Romance,Jessica Stroup
Romance,Suzanne Flon
The Birds,Jon Favreau
The Birds,Alec Guinness
The Birds,Barry Fitzgerald
The Birds,Billie Dove
Frenzy,James Stacy
Frenzy,Doris Davenport
Frenzy,Brenda Blethyn
Frenzy,Bernard Lee
The Man Who Knew Too Much,Erna Haffner
The Man Who Knew Too Much,William Hickey
The Man Who Knew Too Much,Robert Ridgely
The Man Who Knew Too Much,Edith Massey
The Wild Bunch,Nicole Beharie
The Wild Bunch,Matt Damon
The Wild Bunch,Joaquim de Almeida
The Wild Bunch,Cary-Hiroyuki Tagawa
To Die For,Roy Orbison
To Die For,Robert Sean Leonard
To Die For,Richard Donat
To Die For,Lorraine Bracco
Jaws,Roy Orbison
Jaws,Lorraine Bracco
Jaws,Muriel Pavlow
Jaws,Joseph Latimore
Jaws 2,Kevin Conroy
Jaws 2,Mary McCormack
Jaws 2,Graham Chapman
Jaws 2,Roddy Piper
Dances with Wolves,Duncan Regehr
Dances with Wolves,Robert Cummings
Dances with Wolves,Anne Gwynne
Dances with Wolves,Denis Lawson
Wag The Dog,Gene Evans
Wag The Dog,John Castle
Wag The Dog,Freddy Rodríguez
Wag The Dog,Cindy Pickett
The Conversation,Gregory Jones
The Conversation,Mary Ault
The Conversation,Philippe Noiret
The Conversation,Robert Downey Jr.
To kill a Mockingbird,Henry Edwards
To kill a Mockingbird,Jane Curtin
To kill a Mockingbird,John Candy
To kill a Mockingbird,Charles Waldron
The Grapes of Wrath,Kate Reid
The Grapes of Wrath,Leonardo Cimino
The Grapes of Wrath,Frances Conroy
The Grapes of Wrath,Billy Wirth
Titanic,William Hickey
Titanic,Gloria Stuart
Titanic,Eric Thal
Titanic,Nancy Kyes
Sunset Blvd.,Matthew McConaughey
Sunset Blvd.,Abraham Sofaer
Sunset Blvd.,Vince Vaughn
Sunset Blvd.,Quentin Tarantino
Full Metal Jacket,Henry Silva
Full Metal Jacket,Debra Winger
Full Metal Jacket,Robert Loggia
Full Metal Jacket,Dre Puhich
E.T. The Extra-Terrestrial,Will Sampson
E.T. The Extra-Terrestrial,Bill Paxton
E.T. The Extra-Terrestrial,Jeff Fahey
E.T. The Extra-Terrestrial,Mary McCormack
Independence Day,Kay Thompson
Independence Day,Lauren Hutton
Independence Day,Carrie Snodgress
Independence Day,Hughie Restorick
The Matrix,Mervyn Johns
The Matrix,Robert Quarry
The Matrix,Kitty Winn
The Matrix,Michael Keaton
Out of Africa,Tommy Flanagan
Out of Africa,Will Sampson
Out of Africa,Linda Darnell
Out of Africa,Vince Vaughn
Men In Black,Craig Stevens
Men In Black,Jo-Ann Robinson
Men In Black,Beatrice Pearson
Men In Black,Dominic Purcell
Poltergeist,Matt Damon
Poltergeist,Kevin Anderson
Poltergeist,Denise Darcel
Poltergeist,Neva Patterson
Wild Things,Wesley Snipes
Wild Things,Kevin Conroy
Wild Things,Michele Dotrice
Wild Things,Ralph Richardson
The Bodyguard,Bill Mumy
The Bodyguard,Damon Wimbley
The Bodyguard,Harold Perrineau
The Bodyguard,Rick Kunzi
Ghostbusters,John Terry
Ghostbusters,Olivia Hussey
Ghostbusters,Stewart Granger
Ghostbusters,Jeff Cohen
Grease,Johnathon Schaech
Grease,Frank Gallacher
Grease,Lena Horne
Grease,Emmanuelle Béart
The Ninth Gate,John Cazale
The Ninth Gate,Jamie Gillis
The Ninth Gate,Kevin Jamal Woods
The Ninth Gate,Michael P. Moran
A Fish Called Wanda,Peter Firth
A Fish Called Wanda,Dennis Hoey
A Fish Called Wanda,Antonio Banderas
A Fish Called Wanda,Phil Hartman
Easy Rider,Sam Wanamaker
Easy Rider,Hailee Steinfeld
Easy Rider,John Mahoney
Easy Rider,Julian Mateos
The Killing Fields,Everett Sloane
The Killing Fields,Ewan McGregor
The Killing Fields,Jonathan Winters
The Killing Fields,Kevin McCarthy
Trainspotting,Stephen Archibald
Trainspotting,Fyvush Finkel
Trainspotting,Ben Stiller
Trainspotting,Kevin Pollack
